Serverclass,App,Key,Value
all_solaris_servers,-,machineTypesFilter ,sunos-sparc
regn_all_linux_UF_inputs,-,machineTypesFilter ,linux-x86_64
ngxp_regn_all_linux_UF_inputs,-,machineTypesFilter ,linux-x86_64
ngxp_all_solaris_servers,-,machineTypesFilter ,sunos-sparc
ngxp_all_non_splunk_linux_servers,-,machineTypesFilter ,linux-x86_64
ngxp_regn_ldapsearch,-,machineTypesFilter ,linux-x86_64
regn_dc_admon,-,machineTypesFilter ,windows-x64
regn_all_disco-servers_inputs,-,machineTypesFilter ,windows-x64
ngxp_regn_nix_apache_tomcat,-,machineTypesFilter ,"linux-x86_64,sunos-sparc"
ngxp_Exchange_2013_Mailbox,-,machineTypesFilter ,windows-x64
ngxp_windows_setup,-,machineTypesFilter ,"windows-x64,windows-intel"
ngxp_regn_all_rgclims_servers,-,machineTypesFilter ,"linux-x86_64,sunos-sparc"
gxp_regn_all_windows_setup_inputs,-,machineTypesFilter ,"windows-x64,windows-intel"
ngxp_all_windows_servers,-,machineTypesFilter ,"windows-intel,windows-x64"
splunk_uf_upgrade,-,machineTypesFilter ,windows-x64
update_server_inputs,-,machineTypesFilter ,"windows-x64,windows-intel"
all_non_splunk_linux_servers,-,machineTypesFilter ,linux-x86_64
all_windows_servers,-,machineTypesFilter ,"windows*,windows-x64,windows-intel"
radit_windows_workstations,-,machineTypesFilter ,"windows-x64,windows-intel"
duplicate_guid,-,machineTypesFilter ,"windows-x64,windows-intel"
Demo_Serverclass,-,machineTypesFilter,linux*
Demo_Serverclass,-,machineTypesFilter,win*
